Mean,,Variance
0.8293230266,,0
0.5050132003,,2.83E+11
0.990068091,,17574103.69
0.9982016555,,3.55E+11
0.988967129,,1.23E+11
0.9828965068,,1.18E+11
0.999995767,,3.86E+12
0.9957712985,,7425018593
0.9999074298,,1.17E+11
0.3941567692,,0
0.2066596637,,1.13E+12
0.9991047135,,1.77E+12
0.9534617347,,0
0.3935670311,,2.35E+12
0.9999996285,,1.42E+12
0.9831011805,,5.07E+11
0.2159290787,,3.61E+12
0.9909820365,,1.24E+11
0.9949877474,,1.54E+12
0.9979061035,,2.70E+11
0.9514556685,,23778833807
0.9970770667,,2.25E+11
0.00000378164175,,0
0.3298523427,,2.98E+12
0.9937011759,,2.74E+11
0.1414038405,,30889342675
0.968085967,,7.17E+11
0.9967638035,,3.21E+11
0.9234299641,,99718271524
0.9892137594,,5.93E+12
0.7531866591,,6.46E+11
0.8876061173,,2.87E+11
0.9639026724,,2.13E+11
0.8687527207,,5.51E+11
0.1676357852,,4.17E+12
0.995523654,,1.12E+11
0.01532978164,,1.32E+11
0.9848256092,,1.40E+12
0.04149333338,,1.38E+12
0.9540150705,,2.34E+12
0.2066199402,,7.98E+11
0.998246963,,0
0.2509632371,,59283234731
0.4123195049,,9.29E+12
0.9446005899,,1.94E+12
0.9113572251,,6.92E+11
0.8011657117,,1.07E+12
0.9886065636,,8.96E+12
0.3424967715,,31977935372
0.9562278399,,7.89E+11
0.9541423946,,3.02E+12
0.9945035891,,2.84E+11
0.8379646187,,1.30E+12
0.4070658966,,1.64E+12
0.9265878175,,97030801452
0.9968734036,,1.04E+12
0.000006094675428,,5.61E+11
0.9952653362,,4.20E+12
0.8653216546,,2.16E+11
0.956202252,,2.89E+11
0.002240969383,,5.17E+11
0.00000003521354019,,6.85E+11
0.09406367867,,7.33E+11
0.8240580497,,0
0.8879623528,,8.22E+11
0.8428594935,,1.62E+12
0.9999995441,,35680658343
0.7467907531,,1.05E+13
0.8209965487,,2.98E+12
0.01989342531,,0
0.1014987426,,0
0.4577268745,,1.15E+12
0.9827801228,,6.05E+12
0.7040527007,,2.99E+12
0.5276091894,,5.85E+12
0.9152394642,,2.04E+12
0.9999995168,,1.86E+12
0.7450455088,,0
0.2066596637,,0
0.9232453674,,0
