id,total
"2,4",4.0
"2,7",4.0
"2,8",4.0
"3,14",2.0
"3,16",2.0
"4,11",16.0
"4,13",4.0
"4,7",4.0
"4,8",4.0
"4,89",20.0
"5,14",2.0
"7,13",4.0
"7,8",4.0
"7,89",4.0
"8,13",4.0
"8,17",4.0
"8,89",4.0
"2,89",4.0
"0,2",4.0
"0,8",16.0
"1,18",4.0
"1,2",4.0
"2,18",4.0
"0,1",4.0
"0,13",4.0
"0,15",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,7",4.0
"0,8",4.0
"1,13",4.0
"1,15",4.0
"1,17",4.0
"1,18",4.0
"1,2",4.0
"1,7",4.0
"1,8",4.0
"13,15",4.0
"13,17",4.0
"13,18",4.0
"17,18",4.0
"2,13",4.0
"2,17",4.0
"2,18",4.0
"2,7",4.0
"2,8",4.0
"3,12",2.0
"7,13",4.0
"7,15",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"8,13",4.0
"8,15",4.0
"8,17",4.0
"8,18",4.0
"0,1",4.0
"0,13",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
"1,13",4.0
"1,17",4.0
"1,18",4.0
"1,2",4.0
"1,4",4.0
"1,7",4.0
"1,8",4.0
"1,89",4.0
"10,18",4.0
"13,17",4.0
"13,18",4.0
"17,18",4.0
"17,89",4.0
"18,89",4.0
"2,13",4.0
"2,17",4.0
"2,18",4.0
"2,4",4.0
"2,7",4.0
"2,8",4.0
"2,89",4.0
"4,17",4.0
"4,8",4.0
"4,89",4.0
"7,13",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"7,89",4.0
"8,17",4.0
"8,18",4.0
"8,89",4.0
"0,17",16.0
"0,8",16.0
"1,8",4.0
"1,89",4.0
"18,89",4.0
"8,17",16.0
"8,89",4.0
"0,15",4.0
"0,7",4.0
"1,7",8.0
"2,18",4.0
"2,7",4.0
"7,13",4.0
"7,15",4.0
"7,18",4.0
"0,1",4.0
"0,13",4.0
"0,15",4.0
"0,17",4.0
"0,18",4.0
"0,2",4.0
"0,7",4.0
"0,8",4.0
"1,10",4.0
"1,13",4.0
"1,15",4.0
"1,17",20.0
"1,18",4.0
"1,2",4.0
"1,7",4.0
"1,8",4.0
"13,15",20.0
"13,17",4.0
"13,18",4.0
"15,17",4.0
"15,18",4.0
"17,18",4.0
"2,13",4.0
"2,15",4.0
"2,17",4.0
"2,18",20.0
"2,7",4.0
"2,8",4.0
"7,10",4.0
"7,13",4.0
"7,15",4.0
"7,17",4.0
"7,18",4.0
"7,8",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,89",4.0
"0,1",4.0
"0,13",4.0
"0,15",12.0
"0,17",4.0
"1,13",4.0
"1,15",4.0
"1,17",4.0
"1,18",4.0
"13,18",4.0
"15,17",4.0
"7,17",4.0
"8,89",4.0
"1,10",4.0
"1,89",4.0
"0,13",4.0
"1,10",4.0
"10,89",4.0
"1,18",4.0
"1,4",4.0
"1,8",4.0
"13,18",4.0
"18,89",4.0
"8,13",4.0
"8,18",4.0
"8,89",4.0
"0,1",4.0
"0,13",4.0
"0,18",4.0
"0,4",4.0
"1,13",4.0
"1,15",4.0
"1,18",4.0
"1,8",4.0
"1,89",4.0
"13,15",4.0
"13,18",4.0
"13,89",4.0
"15,18",4.0
"15,89",4.0
"18,89",4.0
"4,13",4.0
"4,89",4.0
"7,8",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,89",4.0
"0,18",8.0
"0,4",16404.0
"0,7",8.0
"0,89",4.0
"15,18",8.0
"4,89",4.0
"7,18",8.0
"0,13",4.0
"0,18",4.0
"0,8",4.0
"13,18",4.0
"7,8",8.0
"8,13",4.0
"8,18",4.0
"0,18",4.0
"0,8",4.0
"0,89",4.0
"13,18",4.0
"7,10",4.0
"7,18",4.0
"8,13",4.0
"8,18",4.0
"0,8",16.0
"0,89",4.0
"8,89",4.0
"0,10",4.0
"0,15",4.0
"0,18",4.0
"10,13",4.0
"10,15",4.0
"10,18",4.0
"13,15",4.0
"13,18",4.0
"15,18",4.0
"18,89",4.0
"0,10",4.0
"0,13",4.0
"0,15",4.0
"0,18",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"10,13",4.0
"10,15",4.0
"10,89",4.0
"13,15",4.0
"13,18",4.0
"15,18",4.0
"15,89",4.0
"4,10",4.0
"4,13",4.0
"4,15",4.0
"4,18",4.0
"4,7",4.0
"4,8",4.0
"4,89",4.0
"7,10",4.0
"7,15",4.0
"7,18",4.0
"7,8",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,18",4.0
"8,89",4.0
"0,13",4.0
"0,15",4.0
"0,4",4.0
"0,8",20.0
"0,89",4.0
"10,15",4.0
"10,89",4.0
"13,15",4.0
"13,89",4.0
"4,15",4.0
"4,18",4.0
"4,89",4.0
"7,10",4.0
"7,15",4.0
"7,8",4.0
"7,89",4.0
"8,10",4.0
"8,13",4.0
"8,15",4.0
"8,89",4.0
"4,18",4.0
"7,15",8.0
"0,10",4.0
"0,13",16.0
"0,7",4.0
"10,15",4.0
"7,8",4.0
"8,13",16.0
"0,10",4.0
"0,13",4.0
"0,15",4.0
"0,18",4.0
"0,4",4.0
"0,7",4.0
"0,8",4.0
"0,89",4.0
